node_id,label,family,title,description,fkgl_score
AC-1,NISTControl,AC,Policy and Procedures,Develop and implement access control policies,12.8
AC-2,NISTControl,AC,Account Management,Manage information system accounts,11.3
AC-3,NISTControl,AC,Access Enforcement,Enforce approved authorizations,10.5
IA-2,NISTControl,IA,Identification and Authentication,Uniquely identify and authenticate users,9.8
IA-4,NISTControl,IA,Identifier Management,Manage information system identifiers,11.0
AU-2,NISTControl,AU,Event Logging,Define auditable events,10.2
AU-6,NISTControl,AU,Audit Record Review,Review and analyze audit records,9.5
SC-7,NISTControl,SC,Boundary Protection,Monitor and control communications,11.8
SI-4,NISTControl,SI,System Monitoring,Monitor the system to detect attacks,10.9
CM-2,NISTControl,CM,Baseline Configuration,Develop and maintain baseline configurations,12.1
